# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
#                                                   Alberto Garcia, May 2012
#                                           Nick Papior Andersen, April 2013
# --------------------------------------------------------------------------
# Energies are subtracted Ef (zero is Ef)
# E_F               =    -3.3661
# k_min, k_max      =     0.0000    0.0349
# E_min, E_max      =    -3.0000    3.0000
# Nbands, Nspin, Nk =   4610     1     5
# Using min_band, max_band =      1  4610
# Total number of bands =   4610
#
#        k            E
# --------------------------------------------------------------------------

      0.034914     -1.645410


      0.000000     -1.533010
      0.008729     -1.549310
      0.017457     -1.568210
      0.026186     -1.568610
      0.034914     -1.568610


      0.000000     -1.524310
      0.008729     -1.536410
      0.017457     -1.544210
      0.026186     -1.551610
      0.034914     -1.554610


      0.000000     -1.508310
      0.008729     -1.488110
      0.017457     -1.467210
      0.026186     -1.452910
      0.034914     -1.447510


      0.000000     -1.408910
      0.008729     -1.406910
      0.017457     -1.402010
      0.026186     -1.396510
      0.034914     -1.393910


      0.000000     -1.256210
      0.008729     -1.269010
      0.017457     -1.291510
      0.026186     -1.309410
      0.034914     -1.316410


      0.000000     -1.236210
      0.008729     -1.261410
      0.017457     -1.286810
      0.026186     -1.304010
      0.034914     -1.310410


      0.000000     -1.219410
      0.008729     -1.189010
      0.017457     -1.154510
      0.026186     -1.151510
      0.034914     -1.150910


      0.000000     -1.176210
      0.008729     -1.165210
      0.017457     -1.148310
      0.026186     -1.107310
      0.034914     -1.082210


      0.000000     -1.137610
      0.008729     -1.132610
      0.017457     -1.111810
      0.026186     -1.083910
      0.034914     -1.068910


      0.000000     -0.965910
      0.008729     -0.969710
      0.017457     -0.980610
      0.026186     -0.996010
      0.034914     -1.014510


      0.000000     -0.887610
      0.008729     -0.909410
      0.017457     -0.948510
      0.026186     -0.989310
      0.034914     -1.005910


      0.000000     -0.832710
      0.008729     -0.815910
      0.017457     -0.791810
      0.026186     -0.774710
      0.034914     -0.768410


      0.000000     -0.499410
      0.008729     -0.499410
      0.017457     -0.499410
      0.026186     -0.499410
      0.034914     -0.499410


      0.000000     -0.481310
      0.008729     -0.482310
      0.017457     -0.484810
      0.026186     -0.487410
      0.034914     -0.488510


      0.000000     -0.402410
      0.008729     -0.402810
      0.017457     -0.403610
      0.026186     -0.404510
      0.034914     -0.404810


      0.000000     -0.061110
      0.008729     -0.061110
      0.017457     -0.061010
      0.026186     -0.061010
      0.034914     -0.061010


      0.000000     -0.010110
      0.008729     -0.010210
      0.017457     -0.010310
      0.026186     -0.010510
      0.034914     -0.010510


      0.000000      0.004390
      0.008729      0.004490
      0.017457      0.004690
      0.026186      0.004790
      0.034914      0.004890


      0.000000      0.071990
      0.008729      0.071990
      0.017457      0.071890
      0.026186      0.071790
      0.034914      0.071690


      0.000000      0.497090
      0.008729      0.497390
      0.017457      0.498290
      0.026186      0.499090
      0.034914      0.499490


      0.000000      0.538090
      0.008729      0.539090
      0.017457      0.541790
      0.026186      0.545490
      0.034914      0.549090


      0.000000      0.556190
      0.008729      0.555790
      0.017457      0.554590
      0.026186      0.552490
      0.034914      0.549590


      0.000000      0.905590
      0.008729      0.897390
      0.017457      0.882390
      0.026186      0.870690
      0.034914      0.866290


      0.000000      0.988390
      0.008729      1.000990
      0.017457      1.028690
      0.026186      1.051690
      0.034914      1.062190


      0.000000      1.017490
      0.008729      1.021890
      0.017457      1.034490
      0.026186      1.060190
      0.034914      1.079990


      0.000000      1.207190
      0.008729      1.206590
      0.017457      1.187990
      0.026186      1.154990
      0.034914      1.134890


      0.000000      1.246590
      0.008729      1.221190
      0.017457      1.198790
      0.026186      1.168990
      0.034914      1.152390


      0.000000      1.259890
      0.008729      1.244990
      0.017457      1.216090
      0.026186      1.210590
      0.034914      1.210090


      0.000000      1.263190
      0.008729      1.281890
      0.017457      1.304590
      0.026186      1.320690
      0.034914      1.326890


      0.000000      1.329890
      0.008729      1.339690
      0.017457      1.354590
      0.026186      1.366590
      0.034914      1.373690


      0.000000      1.417090
      0.008729      1.410590
      0.017457      1.399490
      0.026186      1.389390
      0.034914      1.382790


      0.000000      1.483390
      0.008729      1.497390
      0.017457      1.483590
      0.026186      1.469190
      0.034914      1.463490


      0.000000      1.513790
      0.008729      1.502090
      0.017457      1.524590
      0.026186      1.546690
      0.034914      1.554990


      0.000000      1.555390
      0.008729      1.569490
      0.017457      1.594690
      0.026186      1.617790
      0.034914      1.622190


      0.000000      1.622790
      0.008729      1.622790
      0.017457      1.622790
      0.026186      1.623290
      0.034914      1.629590


      0.000000      1.669490
      0.008729      1.671990
      0.017457      1.679590
      0.026186      1.689890
      0.034914      1.695290


      0.000000      1.695090
      0.008729      1.696290
      0.017457      1.699390
      0.026186      1.704890
      0.034914      1.711290


      0.000000      1.721090
      0.008729      1.725690
      0.017457      1.739490
      0.026186      1.754790
      0.034914      1.742590


      0.000000      1.797590
      0.008729      1.798790
      0.017457      1.797690
      0.026186      1.772890
      0.034914      1.788390


      0.000000      1.839390
      0.008729      1.828090
      0.017457      1.803390
      0.026186      1.813690
      0.034914      1.814290


      0.000000      1.843290
      0.008729      1.839790
      0.017457      1.840790
      0.026186      1.841890
      0.034914      1.823490


      0.000000      1.885690
      0.008729      1.885390
      0.017457      1.884390
      0.026186      1.843290
      0.034914      1.842990


      0.000000      1.903690
      0.008729      1.907790
      0.017457      1.884790
      0.026186      1.880790
      0.034914      1.872590


      0.000000      1.933690
      0.008729      1.933490
      0.017457      1.924490
      0.026186      1.904890
      0.034914      1.895090


      0.000000      1.941190
      0.008729      1.939490
      0.017457      1.932490
      0.026186      1.934090
      0.034914      1.934690


      0.000000      1.946090
      0.008729      1.939990
      0.017457      1.942490
      0.026186      1.949290
      0.034914      1.957590


      0.000000      1.955190
      0.008729      1.951890
      0.017457      1.955790
      0.026186      1.959190
      0.034914      1.960190


      0.000000      1.973790
      0.008729      1.975790
      0.017457      1.980090
      0.026186      1.972390
      0.034914      1.960290


      0.000000      2.020090
      0.008729      2.011590
      0.017457      1.991690
      0.026186      1.981990
      0.034914      1.982290


      0.000000      2.044290
      0.008729      2.011890
      0.017457      2.004190
      0.026186      2.017890
      0.034914      2.032090


      0.000000      2.061190
      0.008729      2.098590
      0.017457      2.084690
      0.026186      2.069590
      0.034914      2.062490


      0.000000      2.097390
      0.008729      2.100390
      0.017457      2.098090
      0.026186      2.077990
      0.034914      2.064190


      0.000000      2.124690
      0.008729      2.112490
      0.017457      2.109890
      0.026186      2.113790
      0.034914      2.115390


      0.000000      2.134290
      0.008729      2.143390
      0.017457      2.146590
      0.026186      2.146090
      0.034914      2.145990


      0.000000      2.150890
      0.008729      2.147390
      0.017457      2.166890
      0.026186      2.168990
      0.034914      2.169490


      0.000000      2.151290
      0.008729      2.161190
      0.017457      2.170490
      0.026186      2.170690
      0.034914      2.169990


      0.000000      2.174290
      0.008729      2.177690
      0.017457      2.188890
      0.026186      2.203590
      0.034914      2.208590


      0.000000      2.191590
      0.008729      2.188590
      0.017457      2.200690
      0.026186      2.207690
      0.034914      2.212390


      0.000000      2.209390
      0.008729      2.211790
      0.017457      2.228490
      0.026186      2.250590
      0.034914      2.246790


      0.000000      2.263290
      0.008729      2.260490
      0.017457      2.255490
      0.026186      2.284590
      0.034914      2.278890


      0.000000      2.291890
      0.008729      2.299790
      0.017457      2.307390
      0.026186      2.287490
      0.034914      2.308190


      0.000000      2.332390
      0.008729      2.326790
      0.017457      2.317890
      0.026186      2.343490
      0.034914      2.377690


      0.000000      2.364090
      0.008729      2.366390
      0.017457      2.382090
      0.026186      2.402390
      0.034914      2.415790


      0.000000      2.446490
      0.008729      2.449690
      0.017457      2.460090
      0.026186      2.452290
      0.034914      2.440290


      0.000000      2.468190
      0.008729      2.486190
      0.017457      2.470090
      0.026186      2.471390
      0.034914      2.446090


      0.000000      2.496590
      0.008729      2.489390
      0.017457      2.521590
      0.026186      2.503890
      0.034914      2.514690


      0.000000      2.523790
      0.008729      2.523590
      0.017457      2.529490
      0.026186      2.527890
      0.034914      2.531790


      0.000000      2.527090
      0.008729      2.537590
      0.017457      2.541390
      0.026186      2.558990
      0.034914      2.538290


      0.000000      2.570190
      0.008729      2.562690
      0.017457      2.559290
      0.026186      2.586890
      0.034914      2.569890


      0.000000      2.670590
      0.008729      2.663990
      0.017457      2.653490
      0.026186      2.591390
      0.034914      2.595890


      0.000000      2.691390
      0.008729      2.685490
      0.017457      2.675390
      0.026186      2.647290
      0.034914      2.645290


      0.000000      2.745190
      0.008729      2.750190
      0.017457      2.677090
      0.026186      2.679690
      0.034914      2.712290


      0.000000      2.756990
      0.008729      2.762390
      0.017457      2.759390
      0.026186      2.763890
      0.034914      2.728990


      0.000000      2.763690
      0.008729      2.767490
      0.017457      2.763990
      0.026186      2.764790
      0.034914      2.763890


      0.000000      2.848690
      0.008729      2.778190
      0.017457      2.789990
      0.026186      2.779090
      0.034914      2.771190


      0.000000      2.857290
      0.008729      2.842890
      0.017457      2.820090
      0.026186      2.814590
      0.034914      2.833190


      0.000000      2.888490
      0.008729      2.885190
      0.017457      2.879990
      0.026186      2.866990
      0.034914      2.849390


      0.000000      2.892290
      0.008729      2.906390
      0.017457      2.889090
      0.026186      2.877590
      0.034914      2.877190


      0.000000      2.961990
      0.008729      2.990190
      0.017457      2.990490
      0.026186      2.991090
      0.034914      2.991690


      0.000000      2.990090
      0.008729      2.992290
      0.034914      2.996590


      0.000000      2.994590


